Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,12/31/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqu - 3/8 pole,Racing,Thoroughbred,Cloudy,On With It,LINDA L. RICE, ,On With It-Tr. Linda Rice-ambulanced off-RK slab fracture-euthanized,Euthanasia
2010,6/4/10,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,84* & Clear,Shot Gun Gal,LINDA L. RICE,ALAN GARCIA,Shot Gun Gal-Tr. Linda Rice-fx LF lateral sesamoid-euthanized,Euthanasia
2010,6/20/10,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,Cloudy 85*,Inhaler,ALAN E. GOLDBERG,RAMON A. DOMINGUEZ,Inhaler-Tr. Alan Goldberg- fx both LF sesamoids-euthanized,Euthanasia
2010,5/6/10,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,70* Clear,Check It Twice,DAVID JACOBSON, ,Check It Twice-Tr. David Jacobson-fx RH cannon bone-euthanized,Euthanasia
2009,11/21/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Cloudy,"Yes, He's the Man",DAVID JACOBSON, ,Yes  He's the Man-Tr. David Jacobson-fx both LF sesamoids-euthanized,Euthanasia
2010,4/20/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,LITTLE SNEAK,ILMAR A. LOAIZA, ,Little Sneak-Tr. Ilmar Loaiza-LH condylar fx-euthanized,Euthanasia
2009,12/30/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Holding Barn,Racing,Thoroughbred,Clear,Treasures of Gold,CODY J. AUTREY, ,Treasures of Gold-Tr. Cody Autrey-fx L hind leg-euthanized,Euthanasia
2010,7/13/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After finish,Racing,Thoroughbred, ,CRAZY CHARLIE,JOSE A. CABRERA, ,Crazy Charlie-Tr. Jose Cabrera-Condylar Fx-LF Fetlock-euthanized,Euthanasia
2011,1/28/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,34* cloudy,Proficient Miss,JAMES T. RYERSON,EDDIE CASTRO,Proficient Miss-Tr. James T. Ryerson-R carpal slab fx-euthanized,Euthanasia
2011,2/16/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,44* Clear,Mikeymikethebuldog,JAMES T. RYERSON,CHARLES C. LOPEZ,Mikeymikethebuldog-Tr. James T Ryerson-fx LFM sesamoid-euthanized,Euthanasia
2010,8/19/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,WHO DO YOU KNOW,EDWARD J. BABCOCK,JOSE M. ROHENA,Who Do You Know-Tr. Edward Babcock-ambulanced off-Fx LF ankle-euthanized,Euthanasia
2011,6/21/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred, ,MR GRIEVANCE,OSCAR S. BARRERA JR,JOSE A. GUTIERREZ,Mr. Grievance-Tr. Oscar Barrera-fx LF sesamoid-euthanized,Euthanasia
2011,8/1/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,During Race,Racing,Thoroughbred, ,BUTTON FRONT,OSCAR S. BARRERA JR,JOSE  (DAVID) D. OSORIO,Buttonfront-Tr. Oscar Barrera-Fx RF sesamoids-euthanized 5 days later,Euthanasia
2011,1/26/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,34* Cloudy,Offlee Cool,DOMINIC G. GALLUSCIO,BRIAN A. PEDROZA,Offlee Cool-Tr. Dominick Galluscio-fx R elbow-euthanized,Euthanasia
2011,3/25/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred,Clear & Cool,Karakorumknowitall,JEFFREY K. ODINTZ,MICHAEL J. LUZZI,Karakorumknowitall-Tr. Jeff Odintz-fx R knee-euthanized 3 days later,Euthanasia
2011,6/11/11,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,65* showers,Ripples n Waves,JAMES A. JERKENS,EDGAR S. PRADO,Ripples n' Waves-Tr. James Jerkens-ambulanced off-fx RF cannon bone-euthanized,Euthanasia
2010,12/11/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Main track harrow yard,Racing,Thoroughbred,Clear 40*,Rum Row,NICHOLAS P. ZITO,JOSE A. VALDIVIA,Rum Row-Tr. Nick Zito-lost rider-ran loose on track fell. Fx right radius-euthanized. Rider ok,Equine Death
2010,12/12/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/16 Pole,Racing,Thoroughbred,Sloppy 48*,V Sat,NICHOLAS P. ZITO,JOSE A. VALDIVIA,V Sat-Tr. Nick Zito-ambulanced off-Fx right front sesamoids-euthanized,Equine Death
2010,11/27/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,MARSH HAVEN,CHARLTON A. BAKER,DENNIS CARR,Marsh Haven-Tr. Charlton Baker-fx RF lateral sesamoid-euthanized,Euthanasia
2011,5/19/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Test Barn-After  Race,Racing,Thoroughbred,Sunny,RUN WITH THE LARK,CHARLTON A. BAKER,PEDRO A. RODRIGUEZ,Run with the Lark-Tr. Charlton Baker-collapsed & died in test barn-possible heart attack or heat stroke,Equine Death
2010,8/31/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,JOHN 'N HOWARD,CHARLTON A. BAKER,JOHN R. DAVILA,John 'N Howard-Tr.Charlton Baker-ambulanced off-LF rupture of superficial digital extensor tendon-Euthanized,Euthanasia
2010,9/1/10,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 pole,Racing,Thoroughbred,`Clear 92*,Timber Reserve,JOHN C. KIMMEL,JAVIER J. CASTELLANO,Timber Reserve-Tr. John Kimmel-Ambulanced off-Fx RF Sesamoids-Euthanized,Euthanasia
2011,5/13/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,GIA NINA,TIMOTHY P. MURPHY,OSCAR D. GOMEZ,Gia Nina-Tr. Timothy Murphy-ambulanced off-Fx pelvis-euthanized,Euthanasia
2010,9/17/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,CAPTAIN SWORD,RALPH D'ALESSANDRO,JEREMIAS FLORES,Captain Sword-Tr. R. D'Alessandro-Fx LF fetlock  displaced condylar-euthanized,Euthanasia
2010,8/20/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,MY FRIEND SANDY,RALPH D'ALESSANDRO,AADIL S. KHAN,My Friend Sandy-Tr. Ralph D'Allesandro-Ambulanced off-Fx RF Sesamoid-euthanized,Euthanasia
2010,11/5/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,LADY LIMIT,BETH M. SAUL,CARLOS A. MARRERO,Lady Limit-Tr. Beth Saul-pulled up-DNF-Fx LF sesamoids-euthanized,Euthanasia
2010,10/24/10,EQUINE DEATH,Belmont Park (NYRA),1/8 Pole,Racing,Thoroughbred,62* Cloudy,Maximo Star,JOHN P. TERRANOVA II,JOSE L. ESPINOZA,Maximo Star-Tr. John P Terranova II-ambulanced off-Fx RF sesamoids-euthanized,Euthanasia
2010,9/13/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,SPECULATION,HAROLD (JAMES) J. BOND,PEDRO A. RODRIGUEZ,Speculation-Tr. H.(James) Bond-ambulanced off-Fx RF sesamoid-euthanized,Euthanasia
2010,10/26/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,ROBBIE'S LADY,TERESA M. GENECCO,CHIN C. YANG,Robbie's Lady-Tr. Terry Genecco-fx right carpus-euthanized,Euthanasia
2010,7/10/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,MISSING LINK,LINDA K. DIXON, ,Missing Link-Tr. Linda Dixon-fx R 3rd carpal bone-euthanized,Euthanasia
2011,1/29/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,30* Cloudy,Hasten to Be King,GREGORY J. DIPRIMA,LUIS . RIVERA JR,Hasten to Be King-Tr. Gregory Diprima-fx both RF sesamoids-euthanized,Euthanasia
2010,6/15/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,KNIFE AND FORK,NEVILLE G. HENRY, ,Knife And Fork-Tr. Neville Henry-fx RF leg-euthanized,Euthanasia
2011,6/15/11,EQUINE DEATH,Belmont Park (NYRA),After Finish-Barn 38,Racing,Thoroughbred,67* Clear,Stormy Silver,MITCHELL E. FRIEDMAN,JAIME RODRIGUEZ,Stormy Silver-Tr. Mitchell Friedman-fx RH P1 pastern-euthanized 2 days later,Euthanasia
2010,7/15/10,EQUINE DEATH,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,Cloudy,My Man Jake,WILLIAM BADGETT JR,JAIME RODRIGUEZ,My Man Jake-Tr. William Badgett Jr-Fx RF sesamoids-euthanized,Euthanasia
2011,7/14/11,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,80* Clear,Midnight Mass,GARY P. GULLO,IRAD ORTIZ JR,Midnight Mass-Tr. Gary Gullo-ambulanced off-fx both LF sesamoids-euthanized,Euthanasia
2011,5/8/11,EQUINE DEATH,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,65* Clear,Kisses From Karen,GARY P. GULLO,JOSE L. ESPINOZA,Kisses From Karen-Tr. Gary Gullo-ambulanced off-Fx RF sesamoids-Euthanized,Euthanasia
2010,8/16/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,MADDY'S RED SHOES,LINDA K. DIXON,PEDRO GONZALEZ,Maddy's Red Shoes-Tr. Linda Dixon-ambulanced off-L knee-slab Fx-euthaized,Equine Death
2010,12/1/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,SHORT TIME AFFAIR,JAMES S. ACQUILANO,PEDRO A. RODRIGUEZ,Short Time Affair-Tr. James Acquilano-LF flexor tendon tear-Euthanized,Equine Death
2010,8/2/10,EQUINE DEATH,Saratoga Racecourse (NYRA),One eight pole,Racing,Thoroughbred,Clear 88*,Gold Vendetta,GARY C. CONTESSA,VICTOR E. SANTIAGO,Gold Vendetta-Tr. Gary C Contessa-ambulanced off-R knee slab Fx-euthanized,Euthanasia
2011,2/24/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,45* Rain,Read The E Mail,GARY C. CONTESSA,RAMON A. DOMINGUEZ,Read the E Mail-Tr. Gary Contessa-found in stall after race w/ fx LFM splint bone-euthanized 4 days later,Euthanasia
2010,7/1/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,STARHUMOR,LAVERN A. BOWMAN, ,Starhumor-Tr. Lavern Bowman-fx L cannon bone-euthanized 3 days later,Euthanasia
2010,9/17/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,PRESQUE (PA TRACK ),Racing,Thoroughbred, ,ARTIE THE ONE MAN PARTY,DEBRA A. BREED, ,Artie The One Man Party-Tr. Debra Breed-Fx RF sesamoid & degenerative joint disease-euthanized,Lameness
2011,8/5/11,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred,80* Partly Cloudy,Jackson N Humbolt,DOMINICK A. SCHETTINO,EDDIE CASTRO,Jackson N Humbold-Tr. Dominick Schettino-fx R knee-euthanized,Euthanasia
2011,7/28/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,CRAZY THING,BRIAN E. MC CALL,LUIS E. PEREZ,Crazy Thing-Tr. Brian McCall-fx & soft tissue injury LF leg-euthanized,Euthanasia
2010,12/11/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,40* Cloudy,Great Emperor,JOSEPH D. IMPERIO,BRIAN A. PEDROZA,Great Emperor-Tr. Joe Imperio-ambulanced off-Fx right front knee-euthanized,Injury
2011,2/4/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,34* Cloudy,Dragon Fighter,JOSEPH D. IMPERIO,CHANNING R. HILL,Dragon Fighter-Tr. Joseph Imperio-LF biaxial sesamoid fxs-euthanized,Euthanasia
2011,7/16/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,MainTrack-3/8 pole,Racing,Thoroughbred, ,FREUDIAN STORM,DONNA M. BIRETA,EMANUEL DE DIEGO,Freudian Storm-Tr. Donna Bireta-died during race-pulmonary hemorrhage,Equine Death
2010,9/11/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,AMELIA THE CAT,DONNA M. BIRETA,JEREMIAS FLORES,Amelia the Cat-Tr. Donna Bireta-Fx LF carpal bone-euthanized next day,Euthanasia
2011,7/19/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Main Track-3/8 Pole,Racing,Thoroughbred, ,Summit Wind,MICHAEL A. LECESSE,LUIS E. PEREZ,Summit Wind-Tr. Michael Lecesse-fx LF sesamoid and ligaments-euthanized,Euthanasia
2010,8/12/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,LONAVICH,MICHAEL A. LECESSE, ,Lonavich-Tr. Michael Lecesse-RF Ruptured tendon-euthanized 5 days later,Equine Death
2011,6/28/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,LADY CHIEF,MICHAEL A. LECESSE,JEREMIAS FLORES,Lady Chief-Tr. Mike Lecesse -fx LF shoulder-euthanized,Euthanasia
2010,10/6/10,EQUINE DEATH,Belmont Park (NYRA),3/4 pole,Racing,Thoroughbred,60* Clear,Indian Bob,ANGEL A. PENNA JR,CORNELIO VELASQUEZ,Indian Bob-Tr. Angel Penna Jr-fell & died-possible heart attack or fx neck,Equine Death
2011,5/30/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred,Sunny,FAVORITE COLORS,MICHAEL S. FERRARO,DANIEL P. VERGARA,Favorite Colors-Tr. Michael Ferraro-vanned off-fx knee-euthanized 5 days later,Euthanasia
2011,5/18/11,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,62* Showers,Back From the Dead,MICHAEL E. HUSHION,CHANNING R. HILL,Back From the Dead-Tr. Michael E. Hushion-ambulanced off-Fx LF sesamoids-euthanized,Euthanasia
2010,9/20/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,DISCREET FLING,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Discreet Fling-Tr. Chris englehart-Fx RF Sesamoid-euthanized,Euthanasia
2010,7/9/10,EQUINE DEATH,Belmont Park (NYRA),Stable Area,Racing,Thoroughbred,Clear 86* F,Motor City Mama,CHRISTOPHER J. ENGLEHART,RAJIV C. MARAGH,Motor City Mama-Tr. Christopher Englehart-collapsed-agonal heat stroke/heat exhaustion-euthanized,Euthanasia
2010,11/27/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,50* Clear,Ryan and Jack,PATRICK J. KELLY,JASON A. GRACIA,Ryan and Jack-Tr. P. Kelly-fell-struck by horse behind him-fx skull-euthanized-rider ambulanced off,Euthanasia
2010,9/3/10,EQUINE DEATH,Saratoga Racecourse (NYRA),1/2 mile pole,Racing,Thoroughbred, ,Seis de Mayo,JOHN T. TOSCANO JR,ABEL LEZCANO,Seis de Mayo-Tr. John T Toscano  Jr.-ambulanced off-Fx RF Sesamoids-Euthanized,Euthanasia
2011,6/24/11,EQUINE DEATH,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,85* Mostly cloudy,Smart Maneuver,ROBERT A. BARBARA,JOSE LEZCANO,Smart Maneuver-Tr. Robert Barbara-ambulanced off-fx RF knee-euthanized,Euthanasia
2010,7/3/10,EQUINE DEATH,Belmont Park (NYRA),After the 6th race,Racing,Thoroughbred,Sunny  87* F,Da Trouble,ROBERT A. BARBARA,RAMON A. DOMINGUEZ,Da Trouble-Tr. Robert Barbara-fx both RF sesamoids-euthanized,Euthanasia
2010,7/19/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,KIPPER CAT,MICHAEL(ANTHONY) A. FERRARO,OSCAR D. GOMEZ,Kipper Cat-Tr. Michael A Ferraro-Fx L knee-Euthanized,Euthanasia
2010,8/14/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,RAPID BEAT,MICHAEL(ANTHONY) A. FERRARO,WILFREDO ROHENA PIZARRO,Rapid Beat-Tr. Michael A Ferraro-ambulanced off-fx R knee slab-euthanized,Equine Death
2010,7/31/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 pole,Racing,Thoroughbred, ,HED DEPUTY,DANIEL H. CONWAY JR,NAZARIO A. ALVARADO,Hed Deputy-Tr. Daniel Conway-R knee slab Fx-euthanized,Euthanasia
2010,7/16/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Philadelphia Park,Racing,Thoroughbred,Rainy 85*,Sequoya Mountain,RICHARD A. VIOLETTE JR, ,Sequoya Mountain-Tr. Richard A. Violetta  Jr.-Fx pelvis-euthanized,Euthanasia
2010,9/28/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,ALL WEST,BRUCE D. ANDERSON,JOSE  (DAVID) D. OSORIO,All West-Tr. Bruce Anderson-Fx RF condylar-euthanized 5 days later,Euthanasia
2010,10/7/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,PICK A CARD,ROOSEVELT JAMES,JEREMIAS FLORES,Pick A Card-Tr. Roosevelt James-ambulanced off-Fx RF sesamoid-Euthanized,Euthanasia
2011,5/26/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/16 pole,Racing,Thoroughbred,Partly Cloudy,Fiddlers Chaparito,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Fiddlers Chaparito-Tr. Jonathan Buckley-fx RF sesamoids-euthanized,Euthanasia
2010,8/27/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,BLEACHER BUM,ESKEI E. BEECH, ,Bleacher Bum-Tr. Eskei Beech-ambulanced off-ruptured tendon-euthanized,Euthanasia
2011,3/2/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,50* Clear,Honeywantshermoney,RODRIGO A. UBILLO,EURICO DA SILVA,Honeywantshermoney-Tr. Rodrigo Ubillo-collapsed & died afterfinish-apparent CV collapse,Equine Death
2011,5/14/11,EQUINE DEATH,Belmont Park (NYRA),Barn area,Racing,Thoroughbred,65* cloudy,Iguaza,BRUCE R. BROWN,RAMON A. DOMINGUEZ,Iguaza-Tr. Bruce R Brown-Fx slab L  knee-euthanized,Euthanasia
2010,11/20/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,APRIL BLOOMS,CHRISTOPHER J. PROGNO,RUBEN ROJAS,April Blooms-Tr. Christopher Progno-fracture right knee- Euthanized,Euthanasia
2011,6/11/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/8 pole,Racing,Thoroughbred, ,PAGANINI,JARED A. SCHOENEMAN,RUBEN ROJAS,Paganini-Tr. Jared Schoenman-fx RF knee-euthanized,Euthanasia
2011,6/11/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,SEVEN SHOOTER,JARED A. SCHOENEMAN,RUBEN ROJAS,Seven Shooter-Tr. Jared Schoenman-fx R knee-euthanized,Euthanasia
2010,11/29/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,PRIMA TESORO,MATTHEW N. BROWN,CARLOS A. MARRERO,Prima Tesoro-Tr. Kevin H. Brown-ambulanced off-Fx R Carpal bone-Euthanized,Euthanasia
2010,10/29/10,EQUINE DEATH,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,57* cloudy,Shelias Magic,MICHAEL J. TROMBETTA,YESID (JULIAN) J. PIMENTEL,Sheila's Magic-Tr. Michael Trombetta-ambulanced off-Fx condular- died after surgery,Equine Death
2010,10/8/10,EQUINE DEATH,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,60* Clear,Guiltless Pleasure,MICHAEL J. TROMBETTA,JAVIER J. CASTELLANO,Guiltless Pleasure-Tr. Michael Trombetta-Fx skull-Euthanized,Euthanasia
2011,8/11/11,EQUINE DEATH,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred,75* Partly Cloudy,Doing Great,MICHAEL J. TROMBETTA,JAVIER J. CASTELLANO,Doing Great-Tr. Michael Trombetta-collapsed & died from apparent cardiac event,Equine Death
2010,8/20/10,EQUINE DEATH,Saratoga Racecourse (NYRA),After finish of the race,Racing,Thoroughbred,77* Clear,Rani Baba,SETH P. BENZEL,JOHN R. VELAZQUEZ,Rani Baba-Tr. Seth Benzel-ambulanced off-R knee-comminuted slab Fx-euthanizeds,Euthanasia
2010,8/23/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,PURE INTENT,FELIX O. MONSERRATE,OSCAR D. GOMEZ,Pure Intent-Tr. Felix Monserrate-Fx RF knee-euthanized 2 weeks later,Euthanasia
2010,9/22/10,EQUINE DEATH,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred,80*  Clear,Pea Stone,FAUSTINO F. RAMOS,JORGE F. CHAVEZ,Pea Stone-Tr. Faustino Ramos-Fx LF cannon bone & sesamoids-euthanized,Euthanasia
2010,9/3/10,EQUINE DEATH,Saratoga Racecourse (NYRA),1/8 Pole,Racing,Thoroughbred,Coudy 88*,Forest Whip,WILLIAM I. MOTT,KENT J. DESORMEAUX,Forest Whip-Tr. William Mott-Fell during race- Fx neck-Died,Equine Death
2011,7/23/11,EQUINE DEATH,Saratoga Racecourse (NYRA),1/8 pole,Racing,Thoroughbred,90* Partly Cloudy,Rockettes Escapade,WILLIAM I. MOTT,JOHN R. VELAZQUEZ,Rockettes Escapade-Tr. William Mott-ambulanced off-fx RH cannon bone-euthanized,Euthanasia
2010,7/23/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/4 pole,Racing,Thoroughbred, ,ADVENTUROUS PLAN,SALVATORE . IORIO JR,DEAN J. FRATES,Adventurous Plan-Tr. Sal Iorio  Jr.-collapsed during race-suspected heart attack-died,Equine Death
2010,7/4/10,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,Sunny 90*,Ommandon's Thunder,LEO O'BRIEN,ANTONIO G. LOPEZ,Ommadon's Thunder-Tr. Leo O'Brien-fx LFM sesamoid-euthanized 6 days later,Euthanasia
2011,1/14/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,22* Clear,Count of Nine,RICHARD W. SMALL,DAVID COHEN,Count of Nine-Tr. Richard W Small-fx L tibia-euthanized,Euthanasia
2010,7/18/10,EQUINE DEATH,Saratoga Racecourse (NYRA),1/16 pole,Racing,Thoroughbred,Clear,Boyhood Dream,THOMAS H. VOSS, ,Boyhood Dream-Tr.Thomas Voss-Fx L humerous-euthanized,Euthanasia
2011,7/17/11,EQUINE DEATH,Saratoga Racecourse (NYRA),3/4 pole,Racing,Thoroughbred,80* Clear,Red Rhythm,THOMAS H. VOSS,XAVIER AIZPURU,Red Rhythm-Tr. Thomas Voss-fx RH cannon bone-euthanized,Euthanasia
2010,11/8/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,DREAMIN'OFMARYLAND,THOMAS J. MULLER,JOEL SONE,Dreamin'ofmaryland-Tr. Thomas Muller-3rd carpal slab fx-euthanized 2 days later,Euthanasia
2010,11/2/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,MADILEE'SGOLDENBOY,KENNETH R. SMITH,RONNY E. RIDEOUT,Madilee'sgoldenboy-Tr. Kenneth Smith-Fx left shoulder-Euthanized next day,Equine Death
2010,8/2/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 pole,Racing,Thoroughbred, ,CALLING MY COLORS,ADRIANNE N. D'ALESSANDRO,CARLOS A. CAMILO,Calling My Colors-Tr. Adrianne D'Alessandro-Rohena-pulmonary hemorrhage-euthanized,Euthanasia
2011,2/13/11,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,40* Clear,Honor Ernesto,EDUARDO E. JONES,CHARLIE AMARO,Honor Ernesto-Tr. Eduardo E. Jones-fx both RF sesamoids0euthanized,Euthanasia
2010,12/11/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),After the finish,Racing,Thoroughbred,40* Cloudy,Ramsgate,NAIPAUL R. CHATTERPAUL,JULIO X. PEZUA,Ramsgate-Tr.N.Chatterpaul-ambulanced off-Fx RF lateral sesamoid-euthanized.,Euthanasia
2010,11/18/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,OUR TRUCKING BARON,RAFAEL G. ROHENA SR,LUIS A. ORTIZ,Our Trucking Baron-Tr. Rafael G. Rohena  Sr.-carpal slab fracture-euthanized 2 days later,Euthanasia
2010,11/30/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Barn,Racing,Thoroughbred, ,ANXIOUS ANNE,HECTOR GUERRA, ,Anxious Annie-Tr. Hector Guerra-nonspecific musculoskeletal disease-euthanized,Euthanasia
2011,8/15/11,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After finish,Racing,Thoroughbred, ,NO KIDDING,HECTOR GUERRA,RICHARD TORRES,No Kidding-Tr. Hector Guerrera-fx RF fetlock-euthanized 1 day later,Euthanasia
2012,3/3/12,EQUINE DEATH,Aqueduct Racetrack (NYRA),"Inner Track, 3/8 Pole",Racing,Thoroughbred,Cloudy 20 to 30 : degrees F,Wes Vegas,DOMINIC G. GALLUSCIO,DAVID COHEN,Wes Vegas-Tr. Dominic Galluscio-pulled up-ambulanced off-fx LF cannon bone & sesamoids-euthanized,Euthanasia
2013,1/6/13,EQUINE DEATH,Aqueduct Racetrack (NYRA),"Inner Track, 3/16 pole",Racing,Thoroughbred,Clear 20 to 30 : degrees F,Wildcat's Smile,DOMINIC G. GALLUSCIO,IRAD ORTIZ JR,Wildcat's Smile-Tr. Dominic Galluscio-fell unseating rider-fx RF leg-euthanized,Equine Injury / Equine Death
2012,12/6/12,EQUINE DEATH,Aqueduct Racetrack (NYRA),"Main Track, 1/2 mile pole",Racing,Thoroughbred,Clear 30 to 40 : degrees F,Gultopper,JAMES A. JERKENS,ARIEL E. SMITH,Gultopper-Tr. James Jerkens-pulled up-fx LF leg-euthanized; Alcolite-Tr. Jena Antonucci-clipped heels with Gultopper unseating rider-no injuries to 2nd horse or rider reported,Equine Injury / Equine Death
